City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sao Filipe,CV,76.53,overcast clouds,14.8961,-24.4956,Hotel Xaguate
5,Atuona,PF,77.7,light rain,-9.8,-139.0333,Villa Enata
6,Saldanha,ZA,64.33,clear sky,-33.0117,17.9442,Blue Bay Lodge
8,Kapaa,US,74.23,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
9,Cape Town,ZA,65.73,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
16,Constitucion,CL,67.12,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
22,Mar Del Plata,AR,65.12,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
29,Puerto Ayora,EC,71.69,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
31,Cabo San Lucas,MX,79.05,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
34,Rikitea,PF,75.81,light rain,-23.1203,-134.9692,People ThankYou
36,Kimbe,PG,77.23,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
40,Riyadh,SA,66.79,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
42,East London,ZA,70.14,scattered clouds,-33.0153,27.9116,Tu Casa
44,Port Alfred,ZA,68.81,scattered clouds,-33.5906,26.891,The Halyards Hotel
47,Georgetown,MY,76.53,moderate rain,5.4112,100.3354,Cititel Penang
54,Souillac,MU,77.83,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
60,Dingle,PH,75.42,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
63,Hermanus,ZA,64.22,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
64,Kruisfontein,ZA,61.5,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
66,Ponta Do Sol,PT,63.14,broken clouds,32.6667,-17.1,Hotel do Campo
67,Airai,TL,61.29,overcast clouds,-8.9266,125.4092,Juvinal Martin
68,Bredasdorp,ZA,65.05,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
69,Atambua,ID,74.66,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
70,Araguacu,BR,76.26,overcast clouds,-12.9306,-49.8264,Hotel Tocantins
72,Castro,BR,76.03,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
74,Apache Junction,US,67.86,clear sky,33.4151,-111.5496,"Motel 6 Apache Junction, AZ"
76,Rawson,AR,69.55,clear sky,-43.3002,-65.1023,Hosteria Sampedro
77,Coquimbo,CL,62.91,clear sky,-29.9533,-71.3436,Punto de encuentro
83,Carnarvon,AU,71.83,clear sky,-24.8667,113.6333,Hospitality Carnarvon
85,Bowen,AU,78.98,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
87,Sakakah,SA,67.53,scattered clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
89,Vaini,TO,75.2,overcast clouds,-21.2,-175.2,Keleti Beach Resort
90,Vao,NC,76.01,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
93,Bafq,IR,60.12,clear sky,31.6128,55.4107,Alamdar Hotel
99,Bafra,TR,74.37,overcast clouds,41.5678,35.9069,Sevgi Otel
103,Kalmunai,LK,77.95,broken clouds,7.4167,81.8167,VS Villa
104,Ribeira Grande,PT,62.51,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
109,Vila Do Maio,CV,75.65,overcast clouds,15.1333,-23.2167,Hotel Marilu
111,Ureki,GE,60.94,broken clouds,41.9956,41.7786,Hotel Ritsa
