City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sao Filipe,CV,14.8961,-24.4956,76.53,67,96,13.0,overcast clouds
1,Esso,RU,55.9333,158.7,9.39,90,100,2.48,overcast clouds
2,Mahibadhoo,MV,3.7833,72.9667,81.73,78,100,13.24,overcast clouds
3,Samarai,PG,-10.6167,150.6667,82.06,81,77,7.92,broken clouds
4,Barrow,US,71.2906,-156.7887,-16.94,98,100,7.52,overcast clouds
5,Atuona,PF,-9.8,-139.0333,77.7,80,25,21.52,light rain
6,Saldanha,ZA,-33.0117,17.9442,64.33,78,5,9.35,clear sky
7,Nikolskoye,RU,59.7035,30.7861,22.69,93,100,10.87,snow
8,Kapaa,US,22.0752,-159.319,74.23,64,27,17.22,scattered clouds
9,Cape Town,ZA,-33.9258,18.4232,65.73,70,8,6.53,clear sky
10,Ushuaia,AR,-54.8,-68.3,47.35,56,66,14.97,light rain
11,Opuwo,NA,-18.0607,13.84,86.14,21,98,13.58,overcast clouds
12,Qaanaaq,GL,77.484,-69.3632,1.72,59,100,9.71,overcast clouds
13,Korla,CN,41.7597,86.1469,25.65,66,10,4.32,clear sky
14,Hobart,AU,-42.8794,147.3294,49.35,92,17,5.59,few clouds
15,Surgut,RU,61.25,73.4167,25.39,93,99,13.67,overcast clouds
16,Constitucion,CL,-35.3333,-72.4167,67.12,51,0,15.57,clear sky
17,Zabol,AF,32.25,67.25,41.07,39,93,1.12,overcast clouds
18,Zhigansk,RU,66.7697,123.3711,-14.08,98,100,0.96,overcast clouds
19,Waverly,US,42.7392,-84.6208,32.83,87,98,6.96,overcast clouds
20,Busselton,AU,-33.65,115.3333,52.14,79,0,7.76,clear sky
21,Severo-Kurilsk,RU,50.6789,156.125,36.05,98,100,12.5,light rain
22,Mar Del Plata,AR,-38.0023,-57.5575,65.12,73,80,22.24,broken clouds
23,Sept-Iles,CA,50.2001,-66.3821,31.08,51,12,0.83,few clouds
24,Tyukhtet,RU,56.5389,89.3011,21.27,84,100,11.83,overcast clouds
25,Longyearbyen,SJ,78.2186,15.6401,5.5,90,62,8.03,broken clouds
26,Beloha,MG,-25.1667,45.05,69.26,76,0,16.49,clear sky
27,Barinas,VE,8.6226,-70.2075,86.49,60,99,7.58,overcast clouds
28,Haines Junction,CA,60.7522,-137.5108,-3.08,99,99,1.74,overcast clouds
29,Puerto Ayora,EC,-0.7393,-90.3518,71.69,79,81,10.25,broken clouds
30,Margate,GB,51.3813,1.3862,39.38,76,38,16.26,scattered clouds
31,Cabo San Lucas,MX,22.8909,-109.9124,79.05,61,78,2.19,broken clouds
32,Guapiacu,BR,-20.795,-49.2203,88.54,49,100,7.05,overcast clouds
33,Hofn,IS,64.2539,-15.2082,29.12,66,100,9.73,overcast clouds
34,Rikitea,PF,-23.1203,-134.9692,75.81,76,1,18.21,light rain
35,Port-Gentil,GA,-0.7193,8.7815,80.46,82,91,12.91,overcast clouds
36,Kimbe,PG,-5.5502,150.1429,77.23,91,100,2.08,overcast clouds
37,Keetmanshoop,NA,-26.5833,18.1333,76.87,29,0,22.1,clear sky
38,Vernon,CA,50.2581,-119.2691,43.54,88,100,2.04,overcast clouds
39,Mataura,NZ,-46.1927,168.8643,45.05,98,58,1.19,broken clouds
40,Riyadh,SA,24.6877,46.7219,66.79,26,0,7.31,clear sky
41,Green River,US,41.5286,-109.4662,47.89,42,23,6.15,few clouds
42,East London,ZA,-33.0153,27.9116,70.14,79,50,12.8,scattered clouds
43,Hithadhoo,MV,-0.6,73.0833,81.28,79,35,14.23,scattered clouds
44,Port Alfred,ZA,-33.5906,26.891,68.81,78,44,13.87,scattered clouds
45,Mitsamiouli,KM,-11.3847,43.2844,80.56,78,41,9.35,scattered clouds
46,Pevek,RU,69.7008,170.3133,3.38,95,100,1.83,overcast clouds
